count,Site,Barren Land (Rock/Sand/Clay),Cultivated Crops,Deciduous Forest,Developed High Intensity,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Open Space",Dwarf Scrub,Emergent Herbaceous Wetlands,Evergreen Forest,Grassland/Herbaceous,Mixed Forest,Open Water,Pasture/Hay,Perennial Ice/Snow,Sedge/Herbaceous,Shrub/Scrub,Woody Wetlands,all_developed
28032,D03_OSBS_C1_P1_v1,0,0,0,0,0,0,11.327021686688568,0,0,0,0,0,0,0,0,0,0,0,11.327021686688568
17127,D02_SERC_R1_P1_v1,0,0,0,0,0,0,9.327821710999281,0,0,0,0,0,0,0,0,0,0,0,9.327821710999281
14631,D02_SCBI_C1_P1_v1,0,0,0,0,0,0,7.968433435723156,0,0,0,0,0,0,0,0,0,0,0,7.968433435723156
15425,D03_DSNY_R1_P1_v1,0,0,0,0,0,0,7.807082808221605,0,0,0,0,0,0,0,0,0,0,0,7.807082808221605
7502,D04_LAJA_R1_P1_v6,0,0,0,0,6.759045696987171,0,0,0,0,0,0,0,0,0,0,0,0,0,6.759045696987171
13806,D09_NOGP_R2_P1_v1,0,0,0,0,0,0,5.833143204806449,0,0,0,0,0,0,0,0,0,0,0,5.833143204806449
7733,D04_GUAN_C1_P1_v1,0,0,0,0,5.534442655215602,0,0,0,0,0,0,0,0,0,0,0,0,0,5.534442655215602
11073,D06_UKFS_R1_P1_v2,0,0,0,0,0,0,5.385831367494346,0,0,0,0,0,0,0,0,0,0,0,5.385831367494346
9528,D02_SERC_R1_P1_v1,0,0,0,0,5.189203320044442,0,0,0,0,0,0,0,0,0,0,0,0,0,5.189203320044442
16013,D07_ORNL_C1_P1_v8,0,0,0,0,0,0,4.9112701888690555,0,0,0,0,0,0,0,0,0,0,0,4.9112701888690555
11350,D02_BLAN_R2_P1_v1,0,0,0,0,0,0,4.897096259222505,0,0,0,0,0,0,0,0,0,0,0,4.897096259222505
15984,D05_UNDE_C1_P1_v1,0,0,0,0,0,0,4.707767344871055,0,0,0,0,0,0,0,0,0,0,0,4.707767344871055
9595,D06_UKFS_R1_P1_v2,0,0,0,0,4.666942289452565,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666942289452565
8806,D03_DSNY_R1_P1_v1,0,0,0,0,4.45699651275199,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45699651275199
8687,D11_CLBJ_C1_P1_v2,0,0,0,0,0,0,4.21473970210082,0,0,0,0,0,0,0,0,0,0,0,4.21473970210082
1664,D01_HOPB_C1_P2_v1,0,0,0,0,0,0,4.205843696289556,0,0,0,0,0,0,0,0,0,0,0,4.205843696289556
9945,D09_NOGP_R2_P1_v1,0,0,0,0,4.201840444140239,0,0,0,0,0,0,0,0,0,0,0,0,0,4.201840444140239
715,D05_LIRO_A1_P2_v1,0,0,0,0,0,0,4.181286549707602,0,0,0,0,0,0,0,0,0,0,0,4.181286549707602
13574,D07_ORNL_C1_P1_v8,0,0,0,0,4.163216233292235,0,0,0,0,0,0,0,0,0,0,0,0,0,4.163216233292235
12266,D16_ABBY_R2_P1_v1,0,0,0,0,0,0,4.124966370729083,0,0,0,0,0,0,0,0,0,0,0,4.124966370729083
7808,D08_TALL_C1_P1_v1,0,0,0,0,0,0,4.028043602746581,0,0,0,0,0,0,0,0,0,0,0,4.028043602746581
6597,D08_DELA_R1_P1_v1,0,0,0,0,0,0,3.8930689563600955,0,0,0,0,0,0,0,0,0,0,0,3.8930689563600955
7055,D02_SCBI_C1_P1_v1,0,0,0,0,3.8423414591638894,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8423414591638894
5262,D04_GUAN_C1_P1_v1,0,0,0,0,0,3.765968867418143,0,0,0,0,0,0,0,0,0,0,0,0,3.765968867418143
4139,D04_LAJA_R1_P1_v6,0,0,0,0,0,0,3.7290975926192877,0,0,0,0,0,0,0,0,0,0,0,3.7290975926192877
16419,D16_WREF_C1_P1_v2,0,0,0,0,0,0,3.6261202567149144,0,0,0,0,0,0,0,0,0,0,0,3.6261202567149144
14284,D03_JERC_R2_P1_v1,0,0,0,0,0,0,3.3720491029272903,0,0,0,0,0,0,0,0,0,0,0,3.3720491029272903
5629,D08_DELA_R1_P1_v1,0,0,0,0,3.3218258534714233,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3218258534714233
6279,D10_STER_R1_P1,0,0,0,0,0,0,3.272988850257763,0,0,0,0,0,0,0,0,0,0,0,3.272988850257763
11286,D11_OAES_R1_P1_v2,0,0,0,0,0,0,3.165014891218388,0,0,0,0,0,0,0,0,0,0,0,3.165014891218388
3345,D11_PRIN_C1_P2_v2,0,0,0,0,0,0,3.1449497466176513,0,0,0,0,0,0,0,0,0,0,0,3.1449497466176513
17676,D01_HARV_C1_P1_v1,0,0,0,0,0,0,3.1175812818134037,0,0,0,0,0,0,0,0,0,0,0,3.1175812818134037
9367,D06_KONZ_KONA_C1_P1_v2,0,0,0,0,3.0009162613972027,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0009162613972027
5800,D01_BART_R1_P1_v1,0,0,0,0,0,0,2.6939780301446854,0,0,0,0,0,0,0,0,0,0,0,2.6939780301446854
6287,D09_NOGP_R2_P1_v1,0,0,0,0,0,2.6563067744906665,0,0,0,0,0,0,0,0,0,0,0,0,2.6563067744906665
11863,D05_STEI_TREE_R1_P1_v2,0,0,0,0,0,0,2.655608161803387,0,0,0,0,0,0,0,0,0,0,0,2.655608161803387
8146,D07_ORNL_C1_P1_v8,0,0,0,0,0,2.4984204682774824,0,0,0,0,0,0,0,0,0,0,0,0,2.4984204682774824
3482,D04_GUAN_C1_P1_v1,0,0,0,0,0,0,2.492037931651458,0,0,0,0,0,0,0,0,0,0,0,2.492037931651458
1749,D06_MCDI_C1_P2_v1,0,0,0,0,0,0,2.2847513422424264,0,0,0,0,0,0,0,0,0,0,0,2.2847513422424264
5248,D07_MLBS_R1_P1_v5,0,0,0,0,0,0,2.245979234963323,0,0,0,0,0,0,0,0,0,0,0,2.245979234963323
23747,D11_BLUE_A2_P1_v1,0,0,0,0,0,0,2.1836040731429662,0,0,0,0,0,0,0,0,0,0,0,2.1836040731429662
4448,D06_UKFS_R1_P1_v2,0,0,0,0,0,2.1634767382475255,0,0,0,0,0,0,0,0,0,0,0,0,2.1634767382475255
1957,D05_CHEQ_R2_P1_v2,0,0,0,0,0,0,2.1247258593359826,0,0,0,0,0,0,0,0,0,0,0,2.1247258593359826
6372,D06_KONZ_KONA_C1_P1_v2,0,0,0,0,0,0,2.041404763277781,0,0,0,0,0,0,0,0,0,0,0,2.041404763277781
12819,D09_WOOD_DCFS_C1_P1_v2,0,0,0,0,0,0,2.032777526700126,0,0,0,0,0,0,0,0,0,0,0,2.032777526700126
2238,D04_LAJA_R1_P1_v6,0,0,0,0,0,2.0163615395704193,0,0,0,0,0,0,0,0,0,0,0,0,2.0163615395704193
6740,D10_ARIK_A1_P2_v2,0,0,0,0,0,0,1.9116228940949571,0,0,0,0,0,0,0,0,0,0,0,1.9116228940949571
633,D13_WLOU_A1_P1_v1,0,0,0,0,0,0,1.8723932913301977,0,0,0,0,0,0,0,0,0,0,0,1.8723932913301977
18397,D19_DEJU_R1_P1_v2,0,0,0,0,1.7428019541511501,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7428019541511501
37115,D18_BARR_R1_P1_v2,0,0,0,0,1.7146347063500385,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7146347063500385
2537,D08_LENO_R2_P1_v1,0,0,0,0,0,0,1.6426240546980213,0,0,0,0,0,0,0,0,0,0,0,1.6426240546980213
3165,D03_DSNY_R1_P1_v1,0,0,0,0,0,1.6019071045718882,0,0,0,0,0,0,0,0,0,0,0,0,1.6019071045718882
4543,D06_KONZ_KONA_C1_P1_v2,0,0,0,0,0,1.4554459886332327,0,0,0,0,0,0,0,0,0,0,0,0,1.4554459886332327
4481,D07_ORNL_C1_P1_v8,0,0,0,1.3743459511848022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3743459511848022
2486,D02_SERC_R1_P1_v1,0,0,0,0,0,1.3539420081476155,0,0,0,0,0,0,0,0,0,0,0,0,1.3539420081476155
2344,D17_SJER_C1_P1_v2,0,0,0,0,0,0,1.3415520566840085,0,0,0,0,0,0,0,0,0,0,0,1.3415520566840085
